Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
LamboTruck (with Cozz feat. REASON & Childish Major),Revenge Of The Dreamers III,04-07-19,229386,,
"Swivel (feat. EARTHGANG) - From The Album ""Mirrorland""",Revenge Of The Dreamers III,04-07-19,194613,,
"Oh Wow...Swerve (feat. J. Cole, Zoink Gang, KEY! & Maxo Kream)",Revenge Of The Dreamers III,04-07-19,275986,,
"Don't Hit Me Right Now (feat. Bas, Cozz, Yung Baby Tate, Guapdad 4000 & Buddy)",Revenge Of The Dreamers III,04-07-19,174360,,
"Wells Fargo (feat. JID, EARTHGANG, Buddy & Guapdad 4000) - Interlude",Revenge Of The Dreamers III,04-07-19,123413,,
"Sleep Deprived (feat. Lute, Omen, Mez & DaVionne)",Revenge Of The Dreamers III,04-07-19,238453,,
"Self Love (feat. Ari Lennox, Bas & Baby Rose)",Revenge Of The Dreamers III,04-07-19,223013,,
"Ladies, Ladies, Ladies (feat. JID & T.I.)",Revenge Of The Dreamers III,04-07-19,167786,,
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy, Ski Mask The Slump God)",Revenge Of The Dreamers III,04-07-19,217866,,
"1993 (feat. J. Cole, JID, Cozz, EARTHGANG, Smino & Buddy)",Revenge Of The Dreamers III,04-07-19,210466,,
"Rembrandt...Run It Back (feat. JID, J. Cole & Vince Staples)",Revenge Of The Dreamers III,04-07-19,151826,,
Sunset (feat. J. Cole & Young Nudy),Revenge Of The Dreamers III,04-07-19,178373,,
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Revenge Of The Dreamers III,04-07-19,284040,,
MIDDLE CHILD,Revenge Of The Dreamers III,04-07-19,213000,,
"PTSD (feat. Omen, Mereba, Deante' Hitchcock & St. Beauty)",Revenge Of The Dreamers III,04-07-19,237853,,
"Sacrifices (feat. EARTHGANG, J. Cole, Smino & Saba)",Revenge Of The Dreamers III,04-07-19,382306,,
Intro,KOD,20-04-18,107160,,
KOD,KOD,20-04-18,191436,,
Photograph,KOD,20-04-18,218953,,
The Cut Off (feat. kiLL edward),KOD,20-04-18,237295,,
ATM,KOD,20-04-18,216726,,
Motiv8,KOD,20-04-18,133921,,
Kevin’s Heart,KOD,20-04-18,200309,,
BRACKETS,KOD,20-04-18,315771,,
Once an Addict - Interlude,KOD,20-04-18,197821,,
FRIENDS (feat. kiLL edward),KOD,20-04-18,257646,,
Window Pain - Outro,KOD,20-04-18,286729,,
1985 - Intro to “The Fall Off”,KOD,20-04-18,190176,,
Intro,KOD,19-04-18,107162,,
KOD,KOD,19-04-18,191437,,
Photograph,KOD,19-04-18,217840,,
The Cut Off (feat. kiLL edward),KOD,19-04-18,237311,,
ATM,KOD,19-04-18,216706,,
Motiv8,KOD,19-04-18,133916,,
Kevin’s Heart,KOD,19-04-18,200309,,
BRACKETS,KOD,19-04-18,315771,,
Once an Addict - Interlude,KOD,19-04-18,197821,,
FRIENDS (feat. kiLL edward),KOD,19-04-18,257646,,
Window Pain - Outro,KOD,19-04-18,286729,,
1985 - Intro to “The Fall Off”,KOD,19-04-18,190359,,
For Whom The Bell Tolls,4 Your Eyez Only,09-12-16,127880,,
Immortal,4 Your Eyez Only,09-12-16,201666,,
Deja Vu,4 Your Eyez Only,09-12-16,264746,,
Ville Mentality,4 Your Eyez Only,09-12-16,194346,,
She's Mine Pt. 1,4 Your Eyez Only,09-12-16,209080,,
Change,4 Your Eyez Only,09-12-16,331480,,
Neighbors,4 Your Eyez Only,09-12-16,216520,,
Foldin Clothes,4 Your Eyez Only,09-12-16,316920,,
She's Mine Pt. 2,4 Your Eyez Only,09-12-16,278920,,
4 Your Eyez Only,4 Your Eyez Only,09-12-16,530253,,
For Whom The Bell Tolls,4 Your Eyez Only,08-12-16,127880,,
Immortal,4 Your Eyez Only,08-12-16,201666,,
Deja Vu,4 Your Eyez Only,08-12-16,264746,,
Ville Mentality,4 Your Eyez Only,08-12-16,194346,,
She's Mine Pt. 1,4 Your Eyez Only,08-12-16,209080,,
Change,4 Your Eyez Only,08-12-16,331480,,
Neighbors,4 Your Eyez Only,08-12-16,216520,,
Foldin Clothes,4 Your Eyez Only,08-12-16,316920,,
She's Mine Pt. 2,4 Your Eyez Only,08-12-16,278920,,
4 Your Eyez Only,4 Your Eyez Only,08-12-16,530253,,
Intro - Live,"Forest Hills Drive: Live from Fayetteville, NC",28-01-16,126080,,
